date,location_id,location_name,latitude,longitude,soil_moisture_m3m3,soil_moisture_source
2016-02-27,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.311116,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-01,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.263609,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-04,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.241489,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-06,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.270589,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.281759,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-12,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.325047,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-14,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.25598,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-17,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.232826,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-20,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.211396,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-22,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.246576,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-25,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.299793,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-28,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.236468,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-03-30,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.225155,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-02,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.243136,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-05,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.176439,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.170874,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-10,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.185741,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-13,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.202683,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-15,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.248888,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-18,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.182593,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-21,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.171433,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-23,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.167187,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-04-29,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.178345,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-04,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.164141,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-07,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.150494,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
2016-05-09,sorriso_mt,"Sorriso, MT",-12.5425,-55.7211,0.165159,AppEEARS:SPL3SMP_E.006:Soil_Moisture_Retrieval_Data_PM_soil_moisture_pm
